Title,location,Price
"
        3bdrm Apartment in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        2,700
    "
"
        Executive 5 Bedroom Mansion 4rent At East Legon-adgringanor
    ","
            East Legon
        ","
        17,400
    "
"
        Executive 5 Bedrooms Houses for Rentals at East Legon- American House
    ","
            East Legon
        ","
        10,800
    "
"
        3bdrm House in Dzorwulu for Rent
    ","
            Dzorwulu
        ","
        10,080
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        2bdrm Apartment in Ashley Botwe School, East Legon for Rent
    ","
            East Legon
        ","
        1,800
    "
"
        2bdrm Apartment in Oforiwaa Heights, Adenta for Rent
    ","
            Adenta
        ","
        1,800
    "
"
        4bdrm Apartment in Ofankor for Rent
    ","
            Ofankor
        ","
        1,600
    "
"
        3bdrm House in Fair Haven, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        7,200
    "
"
        3bdrm Apartment in East Airport for Rent
    ","
            Airport Residential Area
        ","
        3,000
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,300
    "
"
        Furnished 2bdrm Apartment in Praemus Properties, Ga East Municipal
    ","
            Ga East Municipal
        ","
        6,400
    "
"
        5bdrm Apartment in Sinco Properties, East Legon for Rent
    ","
            East Legon
        ","
        11,394
    "
"
        2bdrm House in C5, Nungua for Rent
    ","
            Nungua
        ","
        1,200
    "
"
        4bdrm House in Lakeside Estate, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        7,250
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        6,400
    "
"
        EXECUTIVE 4 BEDROOMS 1 BQ FOR RENTALS AT WEST TRASACO FOR 1200$
    ","
            Agbogbloshie
        ","
        6,000
    "
"
        Executive 4 Bedroom House 4 Rent At East Legon Ajiringanor
    ","
            East Legon
        ","
        8,700
    "
