Title,Price,Description,Location
"
        1bdrm Apartment in Helena Estate Agency, Ga East Municipal for Rent
    ","
        GH₵ 650
    ","
                            Neat chamber and hall self contain apartment in ashongman estate for rent there is availability of...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        6bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 2,000
    ","
                            6 bedroom house storey with ACs for rent at Choggu/Naluro Estate/Jisonayili. Regular flow of water...
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm House in Fear Not Estate, Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            Executive 3bedrooms self-contained for rent at acp going for 3000gh good location
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 1,100
    ","
                            Executive Newly built 2Bedroom apartment.
Located at Obum road
going for 1100gh accept 1yr.
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 13,000
    ","
                            A lovely 3 master bedroom apartment with an outhouse, a laundry & a storeroom surrounded with 3 big...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in Pantang, Accra Metropolitan for Rent
    ","
        GH₵ 2,000
    ","
                            This is a newly built apartment complex in Pantang, about 7 mins from Pantnag Nursing School. It's...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 6,500
    ","
                            A fully furnished 1 bedroom apartment for rent at east legon mempeasem.
fitted with all home...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment for Rent
    ","
        GH₵ 700
    ","
                            Executive Newly built 2bedroom apartment.
Located at Tuba road Kasoa
going for 700gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        4bdrm House in Airport Residential, Cantonments for Rent
    ","
        GH₵ 40,000
    ","
                            4 bedroom house with 1 bedroom boys querters,swimming pool for rent Airport Residential
Price is...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 6,513
    ","
                            An amazing 3-bedroom executive with high quality furnishings and equipments, compound is gated,...
                        ","
            Greater Accra, East Legon
        "
"
        4bdrm House in East Legon for Rent
    ","
        GH₵ 6,000
    ","
                            Executive 4 Bedroom House for Rent at East Legon Hills 
6000ghc
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in by Grand Star Hotel, Ashomang Estate for Rent
    ","
        GH₵ 1,500
    ","
                            A 3 bedrooms apartment in a walled and gated house,few minutes walk from Grand star hotels ashogman...
                        ","
            Greater Accra, Ashomang Estate
        "
"
        3bdrm Apartment in Labone for Rent
    ","
        GH₵ 12,500
    ","
                            This Apartment on its own is everything you can imagine. It has a STUDIO APARTMENT at the side. You...
                        ","
            Greater Accra, Labone
        "
"
        Furnished 1bdrm Apartment in Seekers Realty, DVLA Area for Rent
    ","
        GH₵ 5,708
    ","
                            Fully furnished apartment is more like self compound near a embassy good security network.price is...
                        ","
            Greater Accra, Cantonments
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 9,000
    ","
                            Executive 4 bedroom built house for rent at east legon ajiriganor very nice also at every good...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 1,800
    ","
                            Newly built 3 bedroom house self compound for rent at Vittin Target.
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Townhouse/Terrace in Oyarifa for Rent
    ","
        GH₵ 2,000
    ","
                            • 2 bedrooms Self House with 2 baths*. 
1 visitor’s washroom
Spectacular 2 bedrooms all en suit,
1...
                        ","
            Greater Accra, Oyarifa
        "
"
        Furnished 1bdrm Apartment in Airport Residential Area for Rent
    ","
        GH₵ 16,000
    ","
                            A stupendous 1 bedroom furnished apartment is up for rent in airport residential area.
price :...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        3bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 600
    ","
                            3 bedroom apartment for rent at Vittin Target. aits closed to the main road, closed to TTH, pipe...
                        ","
            Northern Region, Tamale Municipal
        "
